Outsider,Sexe,Deferre,Recul,Entraineur,Distance,Favori,Autostart,Age,Gagnant,Place,Driver,Tree,Selected
discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete
,,,,,,,,,,,class,meta,meta
OUI,H,NON,NON,OUI,COURT,NON,OUI,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,H,OUI,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,RAFFIN,NIVARD,No
NON,H,OUI,OUI,NON,COURT,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,OUI,OUI,NON,COURT,OUI,NON,JEUNE,NON,NON,NIVARD,NIVARD,No
OUI,M,OUI,NON,NON,COURT,NON,OUI,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,F,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,RAFFIN,ABRIVARD,No
NON,F,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,BAZIRE,NIVARD,No
NON,M,NON,OUI,NON,COURT,OUI,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,F,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,BIGEON,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,F,OUI,OUI,NON,COURT,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,OUI,NON,COURT,OUI,NON,MEDIUM,NON,NON,NIVARD,BAZIRE,No
NON,F,OUI,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,OUI,OUI,COURT,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,M,OUI,OUI,OUI,LONG,OUI,NON,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,F,OUI,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,OUVRIE,No
NON,M,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,F,OUI,OUI,OUI,COURT,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,F,OUI,OUI,OUI,LONG,NON,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,F,OUI,OUI,NON,COURT,OUI,OUI,MEDIUM,NON,NON,BIGEON,BAZIRE,No
NON,M,OUI,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,BAZIRE,ABRIVARD,No
NON,H,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,RAFFIN,BAZIRE,No
NON,M,OUI,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,NIVARD,ABRIVARD,No
NON,H,OUI,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,NON,OUI,NON,LONG,NON,NON,JEUNE,NON,NON,RAFFIN,OUVRIE,No
NON,M,NON,NON,NON,COURT,OUI,OUI,VIEUX,NON,NON,BIGEON,RAFFIN,No
NON,H,OUI,OUI,NON,COURT,OUI,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
OUI,F,NON,OUI,NON,LONG,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,OUI,NON,NON,LONG,NON,NON,JEUNE,NON,OUI,OUVRIE,ABRIVARD,No
OUI,F,NON,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,OUI,OUI,LONG,OUI,NON,MEDIUM,NON,NON,VERVA,ABRIVARD,No
OUI,F,NON,OUI,NON,LONG,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,NON,OUI,NON,LONG,NON,NON,JEUNE,NON,NON,ABRIVARD,OUVRIE,No
NON,M,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,OUVRIE,BAZIRE,No
NON,M,NON,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,NON,NON,JEUNE,NON,NON,RAFFIN,ABRIVARD,No
NON,M,OUI,OUI,NON,COURT,OUI,NON,JEUNE,NON,NON,RAFFIN,ABRIVARD,No
NON,F,OUI,OUI,OUI,COURT,OUI,NON,JEUNE,OUI,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,MARTENS,RAFFIN,No
NON,F,OUI,NON,NON,LONG,OUI,NON,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,H,OUI,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
OUI,M,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,RAFFIN,BAZIRE,No
NON,M,NON,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,BIGEON,RAFFIN,No
NON,M,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,M,OUI,NON,OUI,LONG,OUI,NON,MEDIUM,NON,OUI,DREUX,DREUX,No
NON,M,NON,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,RAFFIN,BAZIRE,No
NON,H,OUI,NON,OUI,LONG,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,OUI,OUI,COURT,OUI,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,F,OUI,OUI,NON,COURT,OUI,NON,MEDIUM,NON,NON,MARTENS,BAZIRE,No
NON,M,OUI,NON,NON,COURT,OUI,NON,MEDIUM,OUI,OUI,NIVARD,RAFFIN,No
OUI,M,NON,OUI,NON,COURT,NON,OUI,JEUNE,NON,NON,NIVARD,OUVRIE,No
NON,F,NON,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,H,NON,OUI,NON,COURT,OUI,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,F,OUI,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,RAFFIN,ABRIVARD,No
OUI,M,NON,OUI,NON,COURT,NON,OUI,MEDIUM,NON,NON,OUVRIE,OUVRIE,No
NON,M,OUI,NON,NON,LONG,NON,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,F,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,ABRIVARD,OUVRIE,No
OUI,F,OUI,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,VERVA,ABRIVARD,No
NON,M,OUI,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,NIVARD,RAFFIN,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,JEUNE,NON,OUI,BAZIRE,BAZIRE,No
NON,H,OUI,OUI,OUI,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,NIVARD,No
NON,F,OUI,NON,OUI,COURT,NON,OUI,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,OUI,COURT,OUI,OUI,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,F,NON,NON,NON,COURT,OUI,OUI,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,M,OUI,OUI,NON,COURT,NON,OUI,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,OUI,NON,COURT,NON,OUI,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,OUI,NON,COURT,OUI,OUI,JEUNE,NON,OUI,ABRIVARD,ABRIVARD,No
OUI,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,VERVA,ABRIVARD,No
NON,M,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,OUI,RAFFIN,NIVARD,No
NON,H,OUI,OUI,NON,COURT,OUI,NON,JEUNE,NON,NON,NIVARD,NIVARD,No
NON,M,NON,OUI,NON,COURT,OUI,NON,JEUNE,NON,NON,ABRIVARD,RAFFIN,No
NON,F,NON,NON,NON,COURT,NON,OUI,JEUNE,OUI,NON,ABRIVARD,ABRIVARD,No
NON,F,NON,OUI,NON,COURT,NON,OUI,JEUNE,NON,NON,NIVARD,ABRIVARD,No
NON,M,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,H,OUI,OUI,NON,COURT,OUI,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,OUI,NON,COURT,OUI,NON,MEDIUM,NON,NON,OUVRIE,ABRIVARD,No
OUI,F,NON,OUI,NON,COURT,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,F,OUI,NON,NON,COURT,NON,NON,MEDIUM,NON,NON,OUVRIE,ABRIVARD,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,JEUNE,NON,OUI,ABRIVARD,BAZIRE,No
NON,M,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,NON,NON,NON,LONG,OUI,OUI,JEUNE,NON,NON,OUVRIE,BAZIRE,No
NON,H,OUI,NON,NON,LONG,OUI,OUI,JEUNE,NON,NON,OUVRIE,ABRIVARD,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,JEUNE,OUI,OUI,NIVARD,BAZIRE,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,NIVARD,ABRIVARD,No
NON,H,OUI,OUI,NON,COURT,NON,NON,JEUNE,NON,NON,RAFFIN,ABRIVARD,No
NON,M,NON,OUI,OUI,COURT,OUI,NON,JEUNE,NON,NON,VERVA,BAZIRE,No
NON,M,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,OUI,NON,COURT,OUI,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,NON,COURT,NON,NON,MEDIUM,NON,NON,OUVRIE,RAFFIN,No
NON,M,OUI,NON,NON,COURT,NON,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,F,OUI,NON,NON,COURT,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,NON,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,OUI,NON,NON,LONG,OUI,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,M,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,NIVARD,No
NON,H,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,BAZIRE,NIVARD,No
NON,M,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,F,NON,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,RAFFIN,ABRIVARD,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,H,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
OUI,H,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,VERVA,MARTENS,No
NON,M,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,OUVRIE,ABRIVARD,No
NON,M,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,MARTENS,ABRIVARD,No
NON,H,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,F,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,H,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,OUI,OUI,LONG,OUI,NON,MEDIUM,NON,NON,BAZIRE,NIVARD,No
NON,F,NON,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,VERVA,ABRIVARD,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,OUI,OUI,NON,COURT,NON,OUI,VIEUX,NON,NON,NIVARD,ABRIVARD,No
OUI,M,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,RAFFIN,BAZIRE,No
NON,F,OUI,OUI,NON,COURT,NON,OUI,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,OUI,NON,COURT,NON,OUI,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,H,NON,NON,NON,LONG,OUI,NON,MEDIUM,NON,NON,RAFFIN,BAZIRE,No
NON,F,OUI,NON,OUI,LONG,OUI,NON,JEUNE,NON,OUI,BAZIRE,BAZIRE,No
OUI,F,OUI,NON,OUI,LONG,NON,NON,JEUNE,NON,NON,VERVA,BAZIRE,No
NON,H,NON,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,M,NON,NON,OUI,COURT,OUI,NON,JEUNE,NON,NON,BAZIRE,BIGEON,No
NON,F,NON,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,OUVRIE,ABRIVARD,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,NIVARD,BAZIRE,No
NON,F,OUI,NON,OUI,COURT,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,MARTENS,BAZIRE,No
OUI,H,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,MARTENS,MARTENS,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,MARTENS,BAZIRE,No
NON,H,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,F,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,M,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,ABRIVARD,NIVARD,No
NON,H,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,NON,COURT,NON,NON,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
OUI,H,OUI,NON,OUI,LONG,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,NON,OUI,NON,LONG,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,NON,OUI,OUI,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,NIVARD,No
NON,H,NON,OUI,NON,COURT,NON,OUI,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,H,OUI,OUI,OUI,LONG,NON,NON,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,F,NON,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,OUVRIE,BAZIRE,No
NON,M,NON,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,ABRIVARD,No
NON,H,OUI,NON,NON,LONG,NON,NON,JEUNE,NON,NON,RAFFIN,ABRIVARD,No
NON,M,OUI,NON,NON,LONG,NON,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,F,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,F,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,F,OUI,NON,OUI,COURT,NON,NON,JEUNE,NON,NON,OUVRIE,BAZIRE,No
NON,H,NON,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,BAZIRE,No
NON,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,OUI,LONG,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,F,NON,NON,OUI,COURT,NON,OUI,MEDIUM,NON,NON,VERVA,BAZIRE,No
NON,H,OUI,NON,NON,COURT,NON,OUI,MEDIUM,NON,NON,BAZIRE,RAFFIN,No
NON,F,OUI,NON,OUI,LONG,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,OUI,LONG,NON,NON,MEDIUM,NON,OUI,VERVA,DREUX,No
NON,H,OUI,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,BAZIRE,ABRIVARD,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,BAZIRE,No
OUI,F,NON,NON,NON,COURT,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,OUI,OUI,COURT,NON,NON,MEDIUM,NON,OUI,DREUX,DREUX,No
NON,F,OUI,OUI,NON,COURT,NON,NON,MEDIUM,NON,NON,NIVARD,ABRIVARD,No
OUI,M,OUI,NON,NON,COURT,NON,NON,JEUNE,NON,NON,OUVRIE,RAFFIN,No
NON,H,OUI,NON,NON,COURT,NON,NON,MEDIUM,OUI,OUI,VERVA,RAFFIN,No
NON,H,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,BIGEON,BAZIRE,No
NON,F,NON,OUI,OUI,COURT,OUI,NON,JEUNE,NON,OUI,ABRIVARD,BAZIRE,No
OUI,F,NON,NON,NON,COURT,NON,NON,MEDIUM,NON,NON,RAFFIN,ABRIVARD,No
NON,F,OUI,NON,OUI,COURT,OUI,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,NIVARD,ABRIVARD,No
NON,H,OUI,NON,OUI,COURT,OUI,OUI,MEDIUM,NON,NON,DREUX,NIVARD,No
NON,F,OUI,NON,OUI,COURT,OUI,OUI,JEUNE,NON,NON,ABRIVARD,BAZIRE,No
NON,F,OUI,NON,OUI,COURT,NON,OUI,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,M,OUI,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,F,OUI,NON,NON,COURT,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,OUI,NON,NON,COURT,OUI,NON,JEUNE,OUI,OUI,OUVRIE,ABRIVARD,No
NON,M,OUI,NON,NON,LONG,OUI,NON,JEUNE,OUI,OUI,NIVARD,NIVARD,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,RAFFIN,BAZIRE,No
NON,F,OUI,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,RAFFIN,ABRIVARD,No
NON,M,OUI,NON,NON,COURT,NON,NON,JEUNE,NON,NON,NIVARD,RAFFIN,No
NON,F,NON,OUI,NON,COURT,OUI,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
OUI,F,NON,OUI,NON,LONG,NON,NON,JEUNE,NON,NON,OUVRIE,ABRIVARD,No
OUI,F,OUI,NON,NON,COURT,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
OUI,H,OUI,NON,NON,LONG,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,NON,NON,OUI,LONG,OUI,NON,JEUNE,NON,NON,BIGEON,BIGEON,No
NON,M,OUI,NON,NON,COURT,OUI,OUI,JEUNE,OUI,OUI,BAZIRE,ABRIVARD,No
NON,H,NON,NON,OUI,COURT,OUI,NON,JEUNE,NON,NON,BIGEON,BIGEON,No
NON,M,OUI,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,VERVA,ABRIVARD,No
NON,M,OUI,NON,OUI,COURT,OUI,NON,JEUNE,NON,NON,BIGEON,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,NON,NON,MEDIUM,NON,NON,NIVARD,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,NON,NON,NON,COURT,OUI,NON,JEUNE,NON,OUI,ABRIVARD,ABRIVARD,No
NON,H,NON,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,H,OUI,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,NIVARD,NIVARD,No
NON,M,NON,NON,NON,COURT,NON,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,NON,COURT,OUI,OUI,JEUNE,NON,NON,RAFFIN,NIVARD,No
NON,M,NON,OUI,NON,COURT,NON,NON,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
