;Drivers;Entraineur;Distance;Recul/Ligne;Autostart;Déferré;AGE;Sexe;Parmi 5 premiers dernière 5 courses;Gagné 3 dernières courses;côte < 10/1;côte > 70/1;;
;Y. Lebourgeoi;NON;2850;NON;NON;NON;5;M;NON;NON;NON;NON;;
;Y. Gerard;NON;2850;NON;NON;OUI;6;H;NON;NON;NON;NON;;
;J.Et. Dubois;OUI;2700;NON;NON;OUI;4;M;NON;NON;OUI;NON;;
;H. Langeweg J ;NON;2700;NON;NON;OUI;4;M;NON;NON;NON;NON;;
;J. Bruneau;OUI;2700;NON;NON;NON;4;M;NON;NON;NON;OUI;;
;B. Robin;NON;2700;NON;NON;NON;4;H;NON;NON;NON;NON;;
;E. Allard;OUI;2700;NON;NON;OUI;4;M;NON;NON;NON;NON;;
;J.M. Bazire;NON;2700;NON;NON;OUI;5;F;NON;NON;OUI;NON;;
;P. Vercruysse;NON;2700;NON;NON;NON;5;F;NON;NON;NON;NON;;
;A. Barrier;NON;2700;NON;NON;OUI;5;F;NON;NON;NON;NON;;
;T. Le Beller;NON;2700;NON;NON;OUI;5;F;NON;NON;NON;NON;;
;P.Y. Verva;OUI;2700;NON;NON;OUI;5;F;NON;NON;NON;NON;;
;N. Roussel;NON;2700;NON;NON;OUI;5;M;NON;NON;NON;NON;;
;P. Gubellini;OUI;2700;NON;NON;NON;5;M;NON;NON;NON;OUI;;
;F. Ouvrie;NON;2700;NON;NON;OUI;5;M;NON;NON;NON;NON;;
;F. Blandin;OUI;2700;NON;NON;OUI;5;M;NON;NON;NON;NON;;
;M. Nimczyk;OUI;2700;NON;NON;NON;5;M;NON;OUI;NON;NON;;
;D. Thomain;NON;2100;OUI;OUI;OUI;6;F;NON;NON;NON;NON;;
;E. Adielsson;NON;2100;OUI;OUI;OUI;6;H;NON;NON;NON;NON;;
;A. Barrier;NON;2100;NON;OUI;NON;7;F;NON;NON;OUI;NON;;
;M. Abrivard;NON;2100;OUI;OUI;OUI;9;H;NON;NON;NON;NON;;
;S. Ernault;NON;2100;NON;OUI;OUI;9;H;NON;NON;NON;NON;;
;J.M. Bazire;NON;4150;NON;NON;OUI;6;M;NON;NON;OUI;NON;;
;Ch. Bigeon;OUI;4150;NON;NON;NON;7;M;NON;NON;NON;NON;;
;E. Raffin;NON;4150;NON;NON;OUI;9;F;NON;NON;OUI;NON;;
;T. Le Beller;NON;4150;NON;NON;OUI;7;F;NON;NON;NON;NON;;
;D. Locqueneux;NON;4150;NON;NON;OUI;8;M;NON;NON;NON;NON;;
;M. Smorgon;OUI;2100;NON;OUI;NON;6;M;NON;NON;OUI;NON;;
;F. Ouvrie;OUI;2100;OUI;OUI;OUI;7;F;NON;NON;NON;NON;;
;M. Abrivard;NON;2100;OUI;OUI;OUI;7;F;NON;NON;NON;NON;;
;J.M. Bazire;OUI;2100;NON;OUI;OUI;6;F;NON;NON;OUI;NON;;
;D. Bonne;NON;2100;NON;OUI;OUI;9;M;NON;NON;NON;NON;;
;E. Raffin;NON;2175;NON;NON;OUI;4;M;NON;NON;OUI;NON;;
;C. Megissier;OUI;2175;OUI;NON;OUI;6;M;NON;NON;OUI;NON;;
;M. Abrivard;OUI;2175;NON;NON;OUI;4;M;NON;NON;NON;NON;;
;L. Baudron;OUI;2175;OUI;NON;NON;5;M;NON;NON;NON;NON;;
;Ph. Daugeard;OUI;2175;OUI;NON;NON;6;M;NON;NON;OUI;NON;;
;A. Wiels;NON;2850;NON;NON;NON;6;F;NON;NON;NON;NON;;
;Ch. Martens;NON;2850;OUI;NON;OUI;7;F;NON;NON;NON;NON;;
;A. Barrier;NON;2850;OUI;NON;NON;7;F;NON;NON;NON;NON;;
;J.Ph. Mary;OUI;2850;OUI;NON;OUI;7;F;NON;NON;NON;NON;;
;F. Nivard;NON;2850;OUI;NON;NON;7;F;NON;NON;OUI;NON;;
;F. Nivard;NON;2700;NON;NON;OUI;7;H;NON;NON;OUI;NON;;
;Ch. Martens;OUI;2700;NON;NON;OUI;6;M;NON;NON;OUI;NON;;
;S. Baude ;OUI;2700;NON;NON;OUI;8;H;NON;NON;NON;NON;;
;E. Raffin;NON;2700;NON;NON;NON;8;F;NON;NON;NON;OUI;;
;M. Smorgon;OUI;2700;NON;NON;NON;6;M;NON;NON;OUI;NON;;
;P. Levesque;NON;2100;OUI;OUI;OUI;7;H;NON;NON;NON;NON;;
;Ch. Martens;OUI;2100;NON;OUI;NON;8;F;NON;NON;NON;NON;;
;Rik Depuydt;NON;2100;NON;OUI;OUI;7;H;OUI;NON;OUI;NON;;
;J.M. Bazire;NON;2100;NON;OUI;OUI;8;H;NON;NON;OUI;NON;;
;D. Thomain;NON;2100;OUI;OUI;OUI;7;M;NON;NON;NON;NON;;
;J.M. Bazire;NON;2850;NON;NON;OUI;6;M;NON;NON;NON;NON;;
;M. Abrivard;NON;2850;NON;NON;OUI;9;F;NON;NON;NON;NON;;
;J.Ph. Mary;OUI;2850;NON;NON;OUI;7;H;NON;NON;NON;NON;;
;T. Le Beller;NON;2850;NON;NON;OUI;7;M;NON;NON;OUI;NON;;
;A. Abrivard;NON;2850;NON;NON;OUI;7;H;NON;NON;NON;NON;;
;Ch. Martens;OUI;2700;NON;NON;OUI;6;M;NON;NON;OUI;NON;;
;P. Vercruysse;NON;2700;NON;NON;NON;6;M;NON;NON;NON;NON;;
;P. Levesque;NON;2700;NON;NON;NON;9;F;NON;NON;OUI;NON;;
;A. Guzzinati;NON;2700;NON;NON;OUI;8;M;NON;NON;NON;NON;;
;J.Et. Dubois;OUI;2700;NON;NON;OUI;7;M;NON;NON;NON;NON;;
;D. Bonne;OUI;2850;NON;NON;OUI;7;H;NON;NON;OUI;NON;;
;J.M. Bazire;OUI;2850;NON;NON;OUI;7;H;NON;NON;OUI;NON;;
;F. Nivard;OUI;2850;NON;NON;NON;7;F;OUI;NON;NON;NON;;
;M. Abrivard;NON;2850;NON;NON;OUI;8;F;NON;NON;NON;NON;;
;A. Barrier;NON;2850;NON;NON;OUI;7;H;NON;NON;OUI;NON;;
;Ch. Martens;OUI;2100;OUI;OUI;NON;8;F;NON;NON;OUI;NON;;
;E. Raffin;NON;2100;NON;OUI;OUI;8;M;NON;NON;OUI;NON;;
;F. Ouvrie;OUI;2100;NON;OUI;NON;8;H;NON;NON;NON;NON;;
;T. Korvenoja ;NON;2100;OUI;OUI;OUI;7;M;NON;NON;NON;NON;;
;J.M. Bazire;NON;2100;NON;OUI;OUI;7;F;NON;NON;OUI;NON;;
;P. Vercruysse;NON;2850;NON;NON;OUI;6;M;NON;NON;OUI;NON;;
;E. Raffin;NON;2850;NON;NON;NON;6;M;NON;NON;NON;NON;;
;A. Barrier;NON;2850;NON;NON;NON;7;F;NON;NON;NON;NON;;
;L. Koubiche;OUI;2850;NON;NON;NON;6;M;NON;NON;NON;NON;;
;J.M. Bazire;NON;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;J.M. Bazire;OUI;2850;NON;NON;OUI;6;M;NON;NON;OUI;NON;;
;M. Abrivard;NON;2850;OUI;NON;OUI;7;H;NON;NON;NON;NON;;
;D. Bonne;OUI;2850;OUI;NON;OUI;7;H;NON;NON;OUI;NON;;
;E. Raffin;NON;2850;OUI;NON;NON;6;M;NON;NON;NON;NON;;
;A. Abrivard;NON;2850;NON;NON;OUI;7;H;NON;NON;NON;NON;;
;J.Ph. Mary;OUI;2100;NON;OUI;OUI;7;H;NON;NON;NON;NON;;
;A. Barrier;NON;2100;OUI;OUI;OUI;6;M;NON;NON;OUI;NON;;
;E. Raffin;NON;2100;NON;OUI;NON;6;H;NON;NON;OUI;NON;;
;B. Goop;NON;2100;NON;OUI;OUI;9;H;NON;NON;NON;NON;;
;J.F. Senet;NON;2100;OUI;OUI;OUI;7;H;NON;NON;NON;OUI;;
;F. Anne;OUI;2850;NON;NON;OUI;4;M;NON;NON;NON;NON;;
;E. Raffin;NON;2850;NON;NON;OUI;4;M;NON;NON;OUI;NON;;
;J. Van Eeckha;OUI;2850;NON;NON;NON;4;M;NON;NON;NON;NON;;
;J. Verbeeck;NON;2850;NON;NON;OUI;4;F;NON;NON;NON;NON;;
;J.Et. Dubois;OUI;2850;NON;NON;OUI;4;F;NON;NON;OUI;NON;;
;Ch.J. Bigeon;OUI;2100;NON;OUI;OUI;7;F;NON;OUI;OUI;NON;;
;Ch. Martens;OUI;2100;NON;OUI;OUI;7;F;NON;NON;OUI;NON;;
;M. Mottier;NON;2100;NON;OUI;NON;8;H;NON;NON;NON;NON;;
;E. Raffin;NON;2100;OUI;OUI;OUI;7;M;NON;NON;NON;NON;;
;P. Levesque;NON;2100;OUI;OUI;OUI;8;H;NON;NON;NON;NON;;
;Ch. Martens;OUI;2700;NON;NON;OUI;6;M;NON;NON;OUI;NON;;
;M. Smorgon;OUI;2700;NON;NON;NON;6;M;NON;NON;NON;NON;;
;F. Nivard;NON;2700;NON;NON;OUI;7;M;NON;NON;OUI;NON;;
;E. Raffin;NON;2700;NON;NON;OUI;7;M;NON;NON;NON;NON;;
;J.Et. Dubois;OUI;2700;NON;NON;NON;6;M;NON;NON;NON;NON;;
;J.M. Bazire;OUI;2100;OUI;OUI;OUI;6;M;OUI;OUI;OUI;NON;;
;L. Koubiche;OUI;2100;OUI;OUI;NON;6;M;NON;NON;OUI;NON;;
;J.Ph. Mary ;OUI;2100;NON;OUI;OUI;7;H;NON;NON;OUI;NON;;
;P. Vercruysse;NON;2100;NON;OUI;OUI;8;H;NON;NON;NON;NON;;
;M. Abrivard;OUI;2100;OUI;OUI;OUI;7;H;NON;NON;NON;NON;;
;J.P. Fichaux;OUI;2700;NON;NON;NON;5;M;NON;NON;NON;NON;;
;J.M. Bazire;NON;2700;NON;NON;OUI;5;H;NON;NON;OUI;NON;;
;S. Carro;NON;2700;NON;NON;OUI;5;M;NON;NON;NON;NON;;
;P.Y. Verva;NON;2700;NON;NON;OUI;5;M;NON;NON;NON;NON;;
;E. Raffin;NON;2700;NON;NON;OUI;5;M;NON;NON;OUI;NON;;
;P. Levesque;NON;2700;NON;NON;OUI;7;M;NON;NON;OUI;NON;;
;R. Derieux;OUI;2700;NON;NON;NON;6;M;NON;NON;OUI;NON;;
;D. Thomain;OUI;2700;NON;NON;OUI;7;H;NON;NON;NON;NON;;
;J.M. Bazire;NON;2700;NON;NON;NON;8;F;NON;NON;NON;NON;;
;A. Abrivard;OUI;2700;NON;NON;OUI;6;M;NON;NON;NON;NON;;
;S. Ernault;OUI;2700;NON;NON;NON;5;M;NON;NON;OUI;NON;;
;M. Abrivard;NON;2700;NON;NON;OUI;5;F;NON;NON;NON;NON;;
;B. Piton;NON;2700;NON;NON;NON;5;M;NON;NON;NON;NON;;
;D. Locqueneux ;NON;2700;NON;NON;OUI;5;M;NON;NON;OUI;NON;;
;S. Carro;OUI;2700;NON;NON;NON;5;M;NON;NON;NON;NON;;
;E. Raffin;NON;2850;OUI;NON;OUI;7;M;NON;NON;OUI;NON;;
;D. Locqueneux ;NON;2850;NON;NON;OUI;6;F;NON;NON;NON;NON;;
;J.M. Bazire;NON;2850;OUI;NON;OUI;7;H;NON;NON;OUI;NON;;
;P. Vercruysse;NON;2850;OUI;NON;NON;7;H;NON;NON;NON;NON;;
;A. Barrier;NON;2850;NON;NON;NON;8;M;NON;NON;NON;NON;;
;J.M. Bazire;OUI;2700;NON;NON;OUI;7;H;NON;NON;OUI;NON;;
;A. Abrivard;OUI;2700;NON;NON;OUI;7;F;NON;NON;OUI;NON;;
;P. Vercruysse;NON;2700;NON;NON;OUI;8;M;NON;NON;NON;NON;;
;J. Niskanen;OUI;2700;NON;NON;OUI;9;H;NON;NON;NON;OUI;;
;R. Derieux;OUI;2700;NON;NON;NON;7;H;NON;NON;NON;NON;;
;F. Anne;OUI;2700;NON;NON;NON;6;H;OUI;NON;OUI;NON;;
;F. Ouvrie;NON;2700;NON;NON;NON;6;H;NON;NON;NON;NON;;
;R. Bakker;NON;2700;NON;NON;OUI;6;M;NON;NON;OUI;NON;;
;F. Nivard;NON;2700;NON;NON;OUI;6;M;NON;NON;NON;NON;;
;R. Andreghett;NON;2700;NON;NON;NON;6;M;OUI;NON;NON;NON;;
;F. Nivard;NON;2100;NON;OUI;NON;6;M;NON;NON;OUI;NON;;
;Ch. Bigeon;OUI;2100;NON;OUI;OUI;7;M;NON;NON;OUI;NON;;
;M. Abrivard;NON;2100;NON;OUI;OUI;9;M;NON;NON;NON;NON;;
;D. Bonne;NON;2100;NON;OUI;NON;8;M;NON;NON;NON;OUI;;
;J.Et. Dubois;OUI;2100;OUI;OUI;OUI;5;M;NON;NON;NON;NON;;
;M. Nimczyk;OUI;2100;OUI;OUI;NON;5;M;OUI;NON;NON;NON;;
;P. Vercruysse;NON;2100;NON;OUI;NON;4;M;OUI;NON;OUI;NON;;
;M. Lenoir;OUI;2100;NON;OUI;OUI;5;M;NON;NON;NON;NON;;
;E. Raffin;NON;2100;NON;OUI;NON;5;H;NON;NON;NON;NON;;
;A.A. Chavatte;OUI;2100;NON;OUI;NON;5;M;NON;NON;NON;NON;;
;Ch.J. Bigeon;OUI;2700;NON;NON;OUI;7;M;NON;NON;OUI;NON;;
;J.M. Bazire;NON;2700;NON;NON;OUI;7;H;NON;NON;OUI;NON;;
;D. Locqueneux ;NON;2700;NON;NON;OUI;7;H;NON;NON;NON;NON;;
;A. Abrivard;OUI;2700;NON;NON;OUI;7;F;NON;NON;OUI;NON;;
;P. Levesque;NON;2700;NON;NON;OUI;8;H;NON;NON;NON;NON;;
;A. Wiels;NON;2850;OUI;NON;NON;7;F;NON;NON;NON;NON;;
;M. Mottier;NON;2850;OUI;NON;OUI;8;H;NON;NON;NON;NON;;
;A. Barrier;NON;2850;OUI;NON;OUI;8;F;NON;NON;NON;NON;;
;H. Sionneau;OUI;2850;NON;NON;OUI;6;H;OUI;NON;OUI;NON;;
;P.Y. Verva;OUI;2850;NON;NON;OUI;7;H;NON;NON;NON;NON;;
;E. Raffin;NON;3000;NON;NON;OUI;5;M;NON;NON;NON;NON;;
;F. Nivard;OUI;3000;NON;NON;OUI;5;M;NON;NON;OUI;NON;;
;E. Lambertz;OUI;3000;NON;NON;OUI;5;M;NON;NON;OUI;NON;;
;P. Vercruysse ;NON;3000;NON;NON;OUI;5;M;OUI;NON;OUI;NON;;
;M. Mottier;OUI;3000;NON;NON;OUI;5;F;NON;NON;OUI;NON;;
;J.M. Bazire;OUI;2850;OUI;NON;NON;6;F;NON;NON;OUI;NON;;
;J.Ph. Monclin;NON;2850;NON;NON;OUI;7;F;NON;NON;OUI;NON;;
;F. Ouvrie;OUI;2850;NON;NON;OUI;6;F;NON;NON;NON;NON;;
;Loic Groussar;OUI;2850;OUI;NON;OUI;6;F;NON;NON;NON;NON;;
;M. Sassier;OUI;2850;OUI;NON;NON;6;F;NON;NON;NON;NON;;
;Mlle J. Lindq;NON;2700;NON;NON;NON;8;F;NON;NON;NON;NON;;
;J.M. Bazire;NON;2700;NON;NON;OUI;6;M;NON;NON;OUI;NON;;
;M. Baroncini;OUI;2700;NON;NON;OUI;6;H;NON;NON;NON;NON;;
;F. Ouvrie;NON;2700;NON;NON;OUI;9;H;NON;NON;NON;NON;;
;Ch. Martens;OUI;2700;NON;NON;OUI;7;F;NON;OUI;OUI;NON;;
;D. Bonne;OUI;2850;NON;NON;OUI;6;H;NON;NON;NON;NON;;
;F. Nivard;NON;2850;NON;NON;OUI;6;H;NON;NON;OUI;NON;;
;A. Duperche;NON;2850;NON;NON;OUI;7;H;NON;NON;NON;NON;;
;J.M. Bazire;NON;2850;NON;NON;OUI;6;H;NON;NON;OUI;NON;;
;D. Thomain;NON;2850;NON;NON;OUI;7;M;NON;NON;NON;NON;;
;Ch.J. Bigeon;OUI;2700;NON;NON;OUI;7;M;NON;NON;OUI;NON;;
;E. Raffin;NON;2700;NON;NON;OUI;7;M;NON;NON;OUI;NON;;
;A. Wiels;NON;2700;NON;NON;NON;7;F;NON;NON;OUI;NON;;
;D. Thomain;NON;2700;NON;NON;OUI;7;M;NON;NON;NON;NON;;
;F. Nivard;NON;2700;NON;NON;OUI;10;H;NON;NON;NON;NON;;
;E. Raffin;NON;2100;OUI;OUI;OUI;7;H;NON;NON;NON;NON;;
;J.M. Bazire;NON;2100;NON;OUI;OUI;7;F;NON;NON;OUI;NON;;
;Cedric Terry;NON;2100;NON;OUI;OUI;8;H;NON;NON;NON;NON;;
;D. Ribemont;NON;2100;NON;OUI;OUI;9;H;NON;NON;NON;NON;;
;D. Brohier;OUI;2100;NON;OUI;OUI;7;H;NON;NON;NON;NON;;
;P. Vercruysse;OUI;2700;NON;NON;OUI;4;F;NON;NON;OUI;NON;;
;A. Barrier;NON;2700;NON;NON;OUI;4;F;NON;NON;OUI;NON;;
;A. Lamy;NON;2700;NON;NON;OUI;4;F;NON;NON;NON;NON;;
;M. Abrivard;OUI;2700;NON;NON;NON;4;F;NON;NON;NON;NON;;
;F. Ouvrie;NON;2700;NON;NON;NON;4;F;NON;NON;NON;NON;;
;A. Thomas;OUI;2850;OUI;NON;NON;6;F;NON;NON;NON;NON;;
;F.P. Bossuet;OUI;2850;OUI;NON;NON;6;F;NON;NON;OUI;NON;;
;E. Raffin;NON;2850;NON;NON;OUI;7;F;NON;NON;NON;NON;;
;B. Piton;NON;2850;NON;NON;OUI;7;F;NON;NON;NON;OUI;;
;M. Fribault;NON;2850;OUI;NON;OUI;6;F;OUI;NON;NON;NON;;
;E. Raffin;NON;2700;NON;NON;OUI;4;F;NON;NON;NON;NON;;
;M. Abrivard;NON;2700;NON;NON;OUI;4;M;NON;NON;OUI;NON;;
;D. Locqueneux;NON;2700;NON;NON;OUI;4;M;OUI;NON;OUI;NON;;
;Ch. Martens;OUI;2700;NON;NON;OUI;4;M;NON;NON;NON;NON;;
;Y. Lebourgeoi;NON;2700;NON;NON;OUI;4;M;NON;NON;NON;NON;;
;F. Ouvrie;NON;2850;NON;NON;OUI;5;F;NON;NON;OUI;NON;;
;A. Abrivard;OUI;2850;OUI;NON;OUI;5;F;NON;NON;OUI;NON;;
;J.M. Bazire;NON;2850;OUI;NON;OUI;5;F;NON;NON;OUI;NON;;
;Th. Viet;NON;2850;OUI;NON;NON;5;F;NON;NON;OUI;NON;;
;S. Hardy;OUI;2850;NON;NON;OUI;5;F;NON;NON;NON;NON;;
;E. Raffin;NON;2100;NON;OUI;OUI;7;M;OUI;OUI;OUI;NON;;
;J.M. Bazire;OUI;2100;NON;OUI;OUI;6;M;NON;NON;OUI;NON;;
;J. Bruneau;OUI;2100;NON;OUI;OUI;6;F;NON;NON;OUI;NON;;
;D. Bonne;NON;2100;NON;OUI;OUI;6;M;NON;NON;OUI;NON;;
;M. Mottier;NON;2100;OUI;OUI;OUI;8;H;NON;NON;NON;NON;;
;;;;;;;;;;;;;;
;;;;;;;;;;03.10.2014;;;;
