Driver;Entraineur;Distance;Recul;Autostart;Deferre;Age;Sexe;Place;Gagnant;Favori;Outsider;Hippodrome;Date
T. Jansson;OUI;2100;OUI;OUI;NON;6;H;NON;NON;NON;NON;VINCENNES;
C. Lugauer;OUI;2100;NON;OUI;NON;6;M;NON;NON;OUI;NON;VINCENNES;
A. Barrier;NON;2850;OUI;NON;NON;7;F;NON;NON;OUI;NON;VINCENNES;
P.Y. Verva;NON;2850;OUI;NON;NON;8;H;NON;NON;NON;NON;VINCENNES;
P. Vercruysse;OUI;2850;NON;NON;NON;8;M;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2850;OUI;NON;NON;7;H;NON;NON;OUI;NON;VINCENNES;
F. Nivard;NON;2850;OUI;NON;NON;7;H;NON;NON;OUI;NON;VINCENNES;
J.L.Cl. Derso;NON;2100;OUI;OUI;NON;5;H;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse;NON;2100;NON;OUI;NON;5;H;NON;NON;NON;NON;VINCENNES;
H. Langeweg J;OUI;2100;OUI;OUI;NON;4;M;OUI;NON;NON;NON;VINCENNES;
A. Abrivard;NON;2100;NON;OUI;NON;5;F;NON;NON;NON;NON;VINCENNES;
D. Locqueneux;NON;2100;NON;OUI;NON;5;M;OUI;NON;OUI;NON;VINCENNES;
J. Dubois;NON;2850;NON;NON;NON;7;H;NON;NON;OUI;NON;VINCENNES;
D. Thomain;NON;2850;NON;NON;NON;5;F;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2850;OUI;NON;NON;5;M;NON;NON;OUI;NON;VINCENNES;
J.L.Cl. Derso;OUI;2850;NON;NON;NON;8;H;NON;NON;NON;NON;VINCENNES;
F. Ouvrie;NON;2850;NON;NON;NON;8;H;NON;NON;NON;NON;VINCENNES;
Ch. Martens;OUI;2700;NON;NON;OUI;7;F;NON;NON;NON;NON;VINCENNES;
J.L.Cl. Derso;OUI;2700;NON;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;OUI;10;H;NON;NON;NON;NON;VINCENNES;
Mlle J. Lindq;NON;2700;NON;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2700;NON;NON;OUI;7;F;NON;NON;NON;NON;VINCENNES;
A. Abrivard;OUI;2700;NON;NON;OUI;6;F;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
A. Barrier;NON;2700;NON;NON;OUI;7;F;NON;NON;NON;NON;VINCENNES;
P. Levesque;NON;2700;NON;NON;OUI;6;F;NON;NON;NON;NON;VINCENNES;
L. Baudron;OUI;2700;NON;NON;OUI;6;F;NON;NON;NON;NON;VINCENNES;
S. Roger;OUI;2700;NON;NON;OUI;4;F;NON;NON;NON;NON;VINCENNES;
W. Bigeon;OUI;2700;NON;NON;NON;4;F;NON;NON;OUI;NON;VINCENNES;
R. Metayer;OUI;2700;NON;NON;NON;4;F;NON;NON;NON;NON;VINCENNES;
A. Barrier;NON;2700;NON;NON;OUI;4;F;NON;NON;NON;NON;VINCENNES;
P.Y. Verva;NON;2700;NON;NON;NON;4;F;NON;NON;NON;NON;VINCENNES;
M. Mottier;OUI;2100;NON;OUI;OUI;4;F;OUI;NON;OUI;NON;VINCENNES;
L. Baudron;OUI;2100;NON;OUI;NON;4;M;NON;NON;OUI;NON;VINCENNES;
E. Lambertz;OUI;2100;OUI;OUI;OUI;4;M;NON;NON;NON;NON;VINCENNES;
Johnny Takter;NON;2100;NON;OUI;NON;4;M;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2100;OUI;OUI;OUI;4;M;NON;NON;NON;NON;VINCENNES;
Ch.J. Bigeon;OUI;2700;NON;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
F. Nivard;NON;2700;NON;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
D. Brohier;OUI;2700;NON;NON;OUI;6;F;NON;NON;NON;NON;VINCENNES;
P.Y. Verva;NON;2700;NON;NON;OUI;6;F;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2850;OUI;NON;OUI;6;H;NON;OUI;OUI;NON;VINCENNES;
J.L.Cl. Derso;OUI;2850;NON;NON;NON;6;H;NON;NON;NON;NON;VINCENNES;
F.P. Bossuet;OUI;2850;NON;NON;NON;6;H;OUI;NON;OUI;NON;VINCENNES;
P. Vercruysse;NON;2850;NON;NON;OUI;5;M;NON;NON;OUI;NON;VINCENNES;
J.Et. Dubois;OUI;2850;OUI;NON;NON;6;M;NON;NON;NON;NON;VINCENNES;
A. Abrivard;OUI;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
F. Nivard;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse;NON;2700;NON;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
P. Levesque;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
M. Abrivard;OUI;2700;NON;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
J.L.Cl. Derso;OUI;2850;NON;NON ;OUI;6;H;NON;NON;OUI;NON;VINCENNES;
Ch. Dreux;OUI;2850;NON;NON ;OUI;7;M;NON;NON;OUI;NON;VINCENNES;
F.P. Bossuet;OUI;2850;NON;NON ;NON;6;F;NON;NON;NON;NON;VINCENNES;
Ch. Martens;OUI;2850;NON;NON ;OUI;7;F;NON;NON;NON;NON;VINCENNES;
S. Ernault;NON;2850;OUI;NON ;OUI;8;H;OUI;NON;OUI;NON;VINCENNES;
J. Dubois;NON;2100;NON;OUI;NON;6;M;NON;NON;OUI;NON;VINCENNES;
A. Barrier;NON;2100;OUI;OUI;NON;6;F;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2100;NON;OUI;OUI;8;M;NON;NON;OUI;NON;VINCENNES;
Ch.J. Bigeon;OUI;2100;NON;OUI;NON;6;M;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2100;NON;OUI;OUI;8;F;NON;NON;NON;NON;VINCENNES;
Ch.J. Bigeon;OUI;2100;NON;OUI;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2100;NON;OUI;OUI;6;F;OUI;NON;OUI;NON;VINCENNES;
J.M. Bazire;NON;2100;NON;OUI;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
T. Le Beller;NON;2100;NON;OUI;OUI;6;F;NON;NON;NON;NON;VINCENNES;
D. Locqueneux;NON;2100;NON;OUI;NON;6;F;NON;NON;NON;NON;VINCENNES;
J.L.Cl. Derso;NON;2700;NON;NON;NON;7;H;NON;NON;NON;NON;VINCENNES;
S. Baude;OUI;2700;NON;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
A. Barrier;NON;2700;NON;NON;OUI;8;M;NON;NON;NON;NON;VINCENNES;
D. Bonne;NON;2700;NON;NON;OUI;8;M;NON;NON;OUI;NON;VINCENNES;
J. Dubois;NON;2700;NON;NON;OUI;8;M;NON;NON;NON;NON;VINCENNES;
d. locqueneux;NON;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
d. thomain;NON;2850;NON;NON;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
e. raffin;NON;2850;NON;NON ;OUI;8;H;NON;NON;OUI;NON;VINCENNES;
d. dauverne;OUI;2850;NON;NON;OUI;6;H;NON;NON;OUI;NON;VINCENNES;
p. vercruysse;NON;2850;NON;NON;OUI;6;H;NON;NON;NON;NON;VINCENNES;
f. nivard;NON;2100;NON;OUI;OUI;7;M;NON;NON;OUI;NON;VINCENNES;
f.p. bossuet;OUI;2100;OUI;OUI;NON;7;H;OUI;NON;OUI;NON;VINCENNES;
l. baudron;OUI;2100;OUI;OUI;OUI;7;M;NON;NON;OUI;NON;VINCENNES;
d. bonne;NON;2100;OUI;OUI;NON;7;F;NON;NON;OUI;NON;VINCENNES;
s. desmarres;OUI;2100;NON;OUI;NON;9;H;NON;NON;OUI;NON;VINCENNES;
f. nivard;NON;2100;OUI;OUI;OUI;7;H;OUI;OUI;OUI;NON;VINCENNES;
j. verbeeck;NON;2100;NON;OUI;NON;8;M;NON;NON;OUI;NON;VINCENNES;
ch. bigeon;OUI;2100;OUI;OUI;NON;6;M;NON;NON;NON;NON;VINCENNES;
th. duvaldest;OUI;2100;NON;OUI;NON;8;H;NON;NON;OUI;NON;VINCENNES;
j.l.cl. derso;OUI;2100;NON;OUI;NON;9;H;NON;NON;OUI;NON;VINCENNES;
a. barrier;NON;2850;NON;NON;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
j. verbeeck;NON;2850;OUI;NON;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
t. le beller;NON;2850;OUI;NON;NON;7;F;NON;NON;OUI;NON;VINCENNES;
j.m. bazire;NON;2850;OUI;NON;OUI;8;F;NON;NON;NON;NON;VINCENNES;
ch. bigeon;OUI;2850;NON;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
f. nivard;NON;2850;OUI;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
f. lecanu;NON;2850;OUI;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
j.ph. mary;OUI;2850;NON;NON;OUI;7;H;OUI;NON;OUI;NON;VINCENNES;
a. barrier;NON;2850;NON;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
j.ph. monclin;OUI;2850;NON;NON;OUI;8;H;NON;NON;OUI;NON;VINCENNES;
j.et. dubois;OUI;2700;NON;NON;OUI;4;F;NON;NON;OUI;NON;VINCENNES;
p. vercruysse;NON;2700;NON;NON;NON;4;F;NON;NON;NON;NON;VINCENNES;
e. raffin;NON;2700;NON;NON;NON;4;F;NON;NON;OUI;NON;VINCENNES;
f. nivard;NON;2700;NON;NON;NON;4;F;NON;NON;OUI;NON;VINCENNES;
g.a. pou pou;NON;2700;NON;NON;NON;4;F;NON;NON;OUI;NON;VINCENNES;
f. ouvrie;NON;2700;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
d. thomain;OUI;2700;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
l. guinoiseau;NON;2700;NON;NON;OUI;6;H;NON;NON;OUI;NON;VINCENNES;
e. raffin;NON;2700;NON;NON;OUI;6;H;NON;NON;OUI;NON;VINCENNES;
p. vercruysse;NON;2700;NON;NON;NON;6;H;NON;NON;NON;OUI;VINCENNES;
P. Vercruysse;NON;2850;NON;NON;OUI;9;M;NON;NON;OUI;NON;VINCENNES;
Ph. Daugeard;OUI;2850;NON;NON;NON;6;M;NON;NON;OUI;NON;VINCENNES;
Th. Duvaldest;OUI;2850;NON;NON;OUI;8;M;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;NON;2850;OUI;NON;NON;8;F;NON;NON;NON;OUI;VINCENNES;
E. Raffin;NON;2850;NON;NON;NON;9;F;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;NON;6;M;NON;NON;OUI;NON;VINCENNES;
F. Ouvrie;NON;2700;NON;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
J. Verbeeck;NON;2700;NON;NON;OUI;6;H;NON;NON;OUI;NON;VINCENNES;
B. Piton;NON;2700;NON;NON;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
D. Thomain;NON;2700;NON;NON;OUI;6;M;NON;NON;NON;NON;VINCENNES;
A. Thomas;OUI;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
M. Abrivard;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
F. Ouvrie;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
F. Ouvrie;NON;2850;OUI;NON;OUI;8;H;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;OUI;2850;NON;NON;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
J.Cl. Hallais;OUI;2850;NON;NON;NON;8;F;NON;NON;NON;NON;VINCENNES;
Ph. Daugeard;OUI;2850;NON;NON;OUI;8;F;OUI;NON;OUI;NON;VINCENNES;
P. Levesque;NON;2850;NON;NON;OUI;9;F;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;OUI;9;F;NON;NON;NON;NON;VINCENNES;
Ch.J. Bigeon;OUI;2700;NON;NON;NON;7;M;NON;NON;OUI;NON;VINCENNES;
Y. Lebourgeoi;NON;2700;NON;NON;OUI;8;M;NON;NON;NON;NON;VINCENNES;
J.L.Cl. Derso;NON;2700;NON;NON;OUI;7;F;NON;NON;NON;NON;VINCENNES;
M. Abrivard;NON;2700;NON;NON;OUI;7;M;NON;NON;NON;NON;VINCENNES;
J. Niskanen;OUI;2700;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
J.Ph. Mary;OUI;2700;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
J. Verbeeck;NON;2700;NON;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
P. Vercruysse;NON;2700;NON;NON;OUI;8;H;NON;NON;NON;OUI;VINCENNES;
E. Raffin;NON;2700;NON;NON;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
L. Kolgjini;OUI;2850;NON;NON;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2850;NON;NON;OUI;6;H;NON;NON;OUI;NON;VINCENNES;
A. Barrier;NON;2850;NON;NON;OUI;6;H;NON;NON;NON;NON;VINCENNES;
P. Levesque;NON;2850;OUI;NON;NON;6;M;NON;NON;NON;NON;VINCENNES;
R. Vecchione;NON;2850;NON;NON;OUI;6;M;NON;NON;NON;NON;VINCENNES;
O. Kihlstrom;NON;2700;NON;NON;OUI;9;M;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2700;NON;NON;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse;NON;2700;NON;NON;OUI;9;M;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;OUI;9;F;NON;NON;NON;NON;VINCENNES;
J. Verbeeck;NON;2700;NON;NON;OUI;7;M;NON;NON;NON;NON;VINCENNES;
A. Guzzinati;NON;2700;NON;NON;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;NON;7;F;OUI;NON;NON;NON;VINCENNES;
J. Chavatte;NON;2700;NON;NON;OUI;7;F;NON;NON;NON;OUI;VINCENNES;
F. Ouvrie;NON;2700;NON;NON;OUI;7;F;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2700;NON;NON;NON;7;F;OUI;NON;NON;NON;VINCENNES;
D. Thomain;NON;2700;NON;NON;OUI;5;F;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;OUI;2700;NON;NON;OUI;5;F;NON;NON;OUI;NON;VINCENNES;
T. Le Beller;NON;2700;NON;NON;OUI;5;F;NON;NON;OUI;NON;VINCENNES;
M. Abrivard;OUI;2700;NON;NON;NON;5;F;NON;NON;NON;NON;VINCENNES;
H. Hardy;OUI;2700;NON;NON;NON;5;F;NON;NON;OUI;NON;VINCENNES;
F. Nivard;NON;2850;NON;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
J.W. Hallais;OUI;2850;OUI;NON;NON;8;F;NON;NON;NON;NON;VINCENNES;
M. Abrivard;NON;2850;OUI;NON;NON;8;H;NON;NON;NON;NON;VINCENNES;
Ph. Daugeard;OUI;2850;OUI;NON;NON;8;F;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;OUI;2850;OUI;NON;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2850;NON;NON;OUI;8;H;NON;NON;NON;NON;VINCENNES;
M. Bezier;OUI;2850;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2850;OUI;NON;OUI;8;H;NON;NON;NON;NON;VINCENNES;
M.G. Baron;OUI;2850;NON;NON;NON;8;H;NON;NON;NON;OUI;VINCENNES;
T. Le Beller;NON;2850;NON;NON;OUI;8;H;NON;NON;NON;NON;VINCENNES;
P. Vercruysse;NON;2850;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
F. Ouvrie;NON;2850;OUI;NON;NON;7;H;NON;NON;NON;NON;VINCENNES;
M. Abrivard;NON;2850;OUI;NON;NON;7;F;NON;NON;OUI;NON;VINCENNES;
Ch. Martens;OUI;2850;NON;NON;OUI;6;H;NON;NON;OUI;NON;VINCENNES;
F. Nivard;NON;2850;OUI;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;NON;7;H;NON;NON;NON;NON;VINCENNES;
G. Donio;OUI;2700;NON;NON;NON;7;H;NON;NON;NON;NON;VINCENNES;
P. Levesque;NON;2700;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
D. Locqueneux;NON;2700;NON;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
F. Ouvrie;NON;2700;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
D. Thomain;NON;2100;OUI;OUI;NON;6;M;NON;NON;NON;NON;VINCENNES;
B. Piton;NON;2100;NON;OUI;OUI;7;M;NON;NON;NON;NON;VINCENNES;
J.L.Cl. Derso;OUI;2100;NON;OUI;NON;6;M;NON;NON;OUI;NON;VINCENNES;
M. Mottier;NON;2100;OUI;OUI;NON;8;H;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2100;OUI;OUI;OUI;8;F;NON;NON;NON;NON;VINCENNES;
F. Anne;OUI;2175;NON;NON;OUI;5;F;NON;NON;NON;NON;VINCENNES;
L. Baudron;OUI;2175;NON;NON;NON;5;M;NON;NON;OUI;NON;VINCENNES;
J. Verbeeck;NON;2175;NON;NON;NON;5;M;NON;NON;NON;NON;VINCENNES;
E. Lambertz;OUI;2175;NON;NON;OUI;5;M;NON;NON;OUI;NON;VINCENNES;
M. Mottier;OUI;2175;NON;NON;OUI;5;F;NON;NON;OUI;NON;VINCENNES;
F. Nivard;NON;2100;OUI;OUI;OUI;7;M;NON;NON;NON;NON;VINCENNES;
D. Thomain;NON;2100;NON;OUI;OUI;6;F;NON;NON;NON;NON;VINCENNES;
J.L.Cl. Derso;OUI;2100;OUI;OUI;NON;7;H;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2100;NON;OUI;OUI;8;H;NON;NON;NON;NON;VINCENNES;
J.Et. Dubois;OUI;2100;NON;OUI;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
B. Goop;NON;2100;NON;OUI;OUI;9;M;NON;NON;NON;NON;VINCENNES;
Ph. Daugeard;OUI;2100;OUI;OUI;OUI;6;M;NON;NON;NON;NON;VINCENNES;
Ch. Bigeon;OUI;2100;NON;OUI;NON;7;M;NON;NON;NON;NON;VINCENNES;
P. Vercruysse;NON;2100;NON;OUI;OUI;9;M;NON;NON;NON;NON;VINCENNES;
C. Megissier;OUI;2100;OUI;OUI;NON;9;M;NON;NON;NON;NON;VINCENNES;
E. Adielsson;NON;2100;NON;OUI;NON;8;F;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2100;NON;OUI;NON;7;F;NON;NON;OUI;NON;VINCENNES;
T. De GenOUIl;NON;2100;OUI;OUI;OUI;7;F;NON;NON;NON;NON;VINCENNES;
Th. Viet;NON;2100;OUI;OUI;OUI;7;F;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2100;OUI;OUI;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
A. Barrier;NON;2100;NON;OUI;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
P. Levesque;NON;2100;OUI;OUI;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse ;NON;2100;NON;OUI;OUI;7;H;NON;NON;NON;NON;VINCENNES;
D. Thomain;NON;2100;NON;OUI;NON;7;H;NON;NON;NON;NON;VINCENNES;
M. Bezier;OUI;2100;NON;OUI;OUI;7;H;NON;NON;NON;NON;VINCENNES;
Mme C. Hallai;NON;2850;NON;NON;OUI;6;M;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2850;NON;NON;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
M. Lenoir;NON;2850;OUI;NON;NON;6;H;NON;NON;NON;NON;VINCENNES;
