Driver;Entraineur;Distance;Recul;Autostart;Deferre;Age;Sexe;Place;Gagnant;Favori;Outsider;Hippodrome;Date
Y. Lebourgeoi;NON;2850;NON;NON;NON;5;M;NON;NON;NON;NON;VINCENNES;
Y. Gerard;NON;2850;NON;NON;OUI;6;H;NON;NON;NON;NON;VINCENNES;
J.Et. Dubois;OUI;2700;NON;NON;OUI;4;M;NON;NON;OUI;NON;VINCENNES;
H. Langeweg J ;NON;2700;NON;NON;OUI;4;M;NON;NON;NON;NON;VINCENNES;
J. Bruneau;OUI;2700;NON;NON;NON;4;M;NON;NON;NON;OUI;VINCENNES;
B. Robin;NON;2700;NON;NON;NON;4;H;NON;NON;NON;NON;VINCENNES;
E. Allard;OUI;2700;NON;NON;OUI;4;M;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2700;NON;NON;OUI;5;F;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse;NON;2700;NON;NON;NON;5;F;NON;NON;NON;NON;VINCENNES;
A. Barrier;NON;2700;NON;NON;OUI;5;F;NON;NON;NON;NON;VINCENNES;
T. Le Beller;NON;2700;NON;NON;OUI;5;F;NON;NON;NON;NON;VINCENNES;
P.Y. Verva;OUI;2700;NON;NON;OUI;5;F;NON;NON;NON;NON;VINCENNES;
N. Roussel;NON;2700;NON;NON;OUI;5;M;NON;NON;NON;NON;VINCENNES;
P. Gubellini;OUI;2700;NON;NON;NON;5;M;NON;NON;NON;OUI;VINCENNES;
F. Ouvrie;NON;2700;NON;NON;OUI;5;M;NON;NON;NON;NON;VINCENNES;
F. Blandin;OUI;2700;NON;NON;OUI;5;M;NON;NON;NON;NON;VINCENNES;
M. Nimczyk;OUI;2700;NON;NON;NON;5;M;NON;OUI;NON;NON;VINCENNES;
D. Thomain;NON;2100;OUI;OUI;OUI;6;F;NON;NON;NON;NON;VINCENNES;
E. Adielsson;NON;2100;OUI;OUI;OUI;6;H;NON;NON;NON;NON;VINCENNES;
A. Barrier;NON;2100;NON;OUI;NON;7;F;NON;NON;OUI;NON;VINCENNES;
M. Abrivard;NON;2100;OUI;OUI;OUI;9;H;NON;NON;NON;NON;VINCENNES;
S. Ernault;NON;2100;NON;OUI;OUI;9;H;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;4150;NON;NON;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
Ch. Bigeon;OUI;4150;NON;NON;NON;7;M;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;4150;NON;NON;OUI;9;F;NON;NON;OUI;NON;VINCENNES;
T. Le Beller;NON;4150;NON;NON;OUI;7;F;NON;NON;NON;NON;VINCENNES;
D. Locqueneux;NON;4150;NON;NON;OUI;8;M;NON;NON;NON;NON;VINCENNES;
M. Smorgon;OUI;2100;NON;OUI;NON;6;M;NON;NON;OUI;NON;VINCENNES;
F. Ouvrie;OUI;2100;OUI;OUI;OUI;7;F;NON;NON;NON;NON;VINCENNES;
M. Abrivard;NON;2100;OUI;OUI;OUI;7;F;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;OUI;2100;NON;OUI;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
D. Bonne;NON;2100;NON;OUI;OUI;9;M;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2175;NON;NON;OUI;4;M;NON;NON;OUI;NON;VINCENNES;
C. Megissier;OUI;2175;OUI;NON;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
M. Abrivard;OUI;2175;NON;NON;OUI;4;M;NON;NON;NON;NON;VINCENNES;
L. Baudron;OUI;2175;OUI;NON;NON;5;M;NON;NON;NON;NON;VINCENNES;
Ph. Daugeard;OUI;2175;OUI;NON;NON;6;M;NON;NON;OUI;NON;VINCENNES;
A. Wiels;NON;2850;NON;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
Ch. Martens;NON;2850;OUI;NON;OUI;7;F;NON;NON;NON;NON;VINCENNES;
A. Barrier;NON;2850;OUI;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
J.Ph. Mary;OUI;2850;OUI;NON;OUI;7;F;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2850;OUI;NON;NON;7;F;NON;NON;OUI;NON;VINCENNES;
F. Nivard;NON;2700;NON;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
Ch. Martens;OUI;2700;NON;NON;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
S. Baude ;OUI;2700;NON;NON;OUI;8;H;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;NON;8;F;NON;NON;NON;OUI;VINCENNES;
M. Smorgon;OUI;2700;NON;NON;NON;6;M;NON;NON;OUI;NON;VINCENNES;
P. Levesque;NON;2100;OUI;OUI;OUI;7;H;NON;NON;NON;NON;VINCENNES;
Ch. Martens;OUI;2100;NON;OUI;NON;8;F;NON;NON;NON;NON;VINCENNES;
Rik Depuydt;NON;2100;NON;OUI;OUI;7;H;OUI;NON;OUI;NON;VINCENNES;
J.M. Bazire;NON;2100;NON;OUI;OUI;8;H;NON;NON;OUI;NON;VINCENNES;
D. Thomain;NON;2100;OUI;OUI;OUI;7;M;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2850;NON;NON;OUI;6;M;NON;NON;NON;NON;VINCENNES;
M. Abrivard;NON;2850;NON;NON;OUI;9;F;NON;NON;NON;NON;VINCENNES;
J.Ph. Mary;OUI;2850;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
T. Le Beller;NON;2850;NON;NON;OUI;7;M;NON;NON;OUI;NON;VINCENNES;
A. Abrivard;NON;2850;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
Ch. Martens;OUI;2700;NON;NON;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse;NON;2700;NON;NON;NON;6;M;NON;NON;NON;NON;VINCENNES;
P. Levesque;NON;2700;NON;NON;NON;9;F;NON;NON;OUI;NON;VINCENNES;
A. Guzzinati;NON;2700;NON;NON;OUI;8;M;NON;NON;NON;NON;VINCENNES;
J.Et. Dubois;OUI;2700;NON;NON;OUI;7;M;NON;NON;NON;NON;VINCENNES;
D. Bonne;OUI;2850;NON;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;OUI;2850;NON;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
F. Nivard;OUI;2850;NON;NON;NON;7;F;OUI;NON;NON;NON;VINCENNES;
M. Abrivard;NON;2850;NON;NON;OUI;8;F;NON;NON;NON;NON;VINCENNES;
A. Barrier;NON;2850;NON;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
Ch. Martens;OUI;2100;OUI;OUI;NON;8;F;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2100;NON;OUI;OUI;8;M;NON;NON;OUI;NON;VINCENNES;
F. Ouvrie;OUI;2100;NON;OUI;NON;8;H;NON;NON;NON;NON;VINCENNES;
T. Korvenoja ;NON;2100;OUI;OUI;OUI;7;M;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2100;NON;OUI;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse;NON;2850;NON;NON;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2850;NON;NON;NON;6;M;NON;NON;NON;NON;VINCENNES;
A. Barrier;NON;2850;NON;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
L. Koubiche;OUI;2850;NON;NON;NON;6;M;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;OUI;2850;NON;NON;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
M. Abrivard;NON;2850;OUI;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
D. Bonne;OUI;2850;OUI;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2850;OUI;NON;NON;6;M;NON;NON;NON;NON;VINCENNES;
A. Abrivard;NON;2850;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
J.Ph. Mary;OUI;2100;NON;OUI;OUI;7;H;NON;NON;NON;NON;VINCENNES;
A. Barrier;NON;2100;OUI;OUI;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2100;NON;OUI;NON;6;H;NON;NON;OUI;NON;VINCENNES;
B. Goop;NON;2100;NON;OUI;OUI;9;H;NON;NON;NON;NON;VINCENNES;
J.F. Senet;NON;2100;OUI;OUI;OUI;7;H;NON;NON;NON;OUI;VINCENNES;
F. Anne;OUI;2850;NON;NON;OUI;4;M;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2850;NON;NON;OUI;4;M;NON;NON;OUI;NON;VINCENNES;
J. Van Eeckha;OUI;2850;NON;NON;NON;4;M;NON;NON;NON;NON;VINCENNES;
J. Verbeeck;NON;2850;NON;NON;OUI;4;F;NON;NON;NON;NON;VINCENNES;
J.Et. Dubois;OUI;2850;NON;NON;OUI;4;F;NON;NON;OUI;NON;VINCENNES;
Ch.J. Bigeon;OUI;2100;NON;OUI;OUI;7;F;NON;OUI;OUI;NON;VINCENNES;
Ch. Martens;OUI;2100;NON;OUI;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
M. Mottier;NON;2100;NON;OUI;NON;8;H;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2100;OUI;OUI;OUI;7;M;NON;NON;NON;NON;VINCENNES;
P. Levesque;NON;2100;OUI;OUI;OUI;8;H;NON;NON;NON;NON;VINCENNES;
Ch. Martens;OUI;2700;NON;NON;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
M. Smorgon;OUI;2700;NON;NON;NON;6;M;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2700;NON;NON;OUI;7;M;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;OUI;7;M;NON;NON;NON;NON;VINCENNES;
J.Et. Dubois;OUI;2700;NON;NON;NON;6;M;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;OUI;2100;OUI;OUI;OUI;6;M;OUI;OUI;OUI;NON;VINCENNES;
L. Koubiche;OUI;2100;OUI;OUI;NON;6;M;NON;NON;OUI;NON;VINCENNES;
J.Ph. Mary ;OUI;2100;NON;OUI;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse;NON;2100;NON;OUI;OUI;8;H;NON;NON;NON;NON;VINCENNES;
M. Abrivard;OUI;2100;OUI;OUI;OUI;7;H;NON;NON;NON;NON;VINCENNES;
J.P. Fichaux;OUI;2700;NON;NON;NON;5;M;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2700;NON;NON;OUI;5;H;NON;NON;OUI;NON;VINCENNES;
S. Carro;NON;2700;NON;NON;OUI;5;M;NON;NON;NON;NON;VINCENNES;
P.Y. Verva;NON;2700;NON;NON;OUI;5;M;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;OUI;5;M;NON;NON;OUI;NON;VINCENNES;
P. Levesque;NON;2700;NON;NON;OUI;7;M;NON;NON;OUI;NON;VINCENNES;
R. Derieux;OUI;2700;NON;NON;NON;6;M;NON;NON;OUI;NON;VINCENNES;
D. Thomain;OUI;2700;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2700;NON;NON;NON;8;F;NON;NON;NON;NON;VINCENNES;
A. Abrivard;OUI;2700;NON;NON;OUI;6;M;NON;NON;NON;NON;VINCENNES;
S. Ernault;OUI;2700;NON;NON;NON;5;M;NON;NON;OUI;NON;VINCENNES;
M. Abrivard;NON;2700;NON;NON;OUI;5;F;NON;NON;NON;NON;VINCENNES;
B. Piton;NON;2700;NON;NON;NON;5;M;NON;NON;NON;NON;VINCENNES;
D. Locqueneux ;NON;2700;NON;NON;OUI;5;M;NON;NON;OUI;NON;VINCENNES;
S. Carro;OUI;2700;NON;NON;NON;5;M;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2850;OUI;NON;OUI;7;M;NON;NON;OUI;NON;VINCENNES;
D. Locqueneux ;NON;2850;NON;NON;OUI;6;F;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2850;OUI;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse;NON;2850;OUI;NON;NON;7;H;NON;NON;NON;NON;VINCENNES;
A. Barrier;NON;2850;NON;NON;NON;8;M;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;OUI;2700;NON;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
A. Abrivard;OUI;2700;NON;NON;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse;NON;2700;NON;NON;OUI;8;M;NON;NON;NON;NON;VINCENNES;
J. Niskanen;OUI;2700;NON;NON;OUI;9;H;NON;NON;NON;OUI;VINCENNES;
R. Derieux;OUI;2700;NON;NON;NON;7;H;NON;NON;NON;NON;VINCENNES;
F. Anne;OUI;2700;NON;NON;NON;6;H;OUI;NON;OUI;NON;VINCENNES;
F. Ouvrie;NON;2700;NON;NON;NON;6;H;NON;NON;NON;NON;VINCENNES;
R. Bakker;NON;2700;NON;NON;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
F. Nivard;NON;2700;NON;NON;OUI;6;M;NON;NON;NON;NON;VINCENNES;
R. Andreghett;NON;2700;NON;NON;NON;6;M;OUI;NON;NON;NON;VINCENNES;
F. Nivard;NON;2100;NON;OUI;NON;6;M;NON;NON;OUI;NON;VINCENNES;
Ch. Bigeon;OUI;2100;NON;OUI;OUI;7;M;NON;NON;OUI;NON;VINCENNES;
M. Abrivard;NON;2100;NON;OUI;OUI;9;M;NON;NON;NON;NON;VINCENNES;
D. Bonne;NON;2100;NON;OUI;NON;8;M;NON;NON;NON;OUI;VINCENNES;
J.Et. Dubois;OUI;2100;OUI;OUI;OUI;5;M;NON;NON;NON;NON;VINCENNES;
M. Nimczyk;OUI;2100;OUI;OUI;NON;5;M;OUI;NON;NON;NON;VINCENNES;
P. Vercruysse;NON;2100;NON;OUI;NON;4;M;OUI;NON;OUI;NON;VINCENNES;
M. Lenoir;OUI;2100;NON;OUI;OUI;5;M;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2100;NON;OUI;NON;5;H;NON;NON;NON;NON;VINCENNES;
A.A. Chavatte;OUI;2100;NON;OUI;NON;5;M;NON;NON;NON;NON;VINCENNES;
Ch.J. Bigeon;OUI;2700;NON;NON;OUI;7;M;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;NON;2700;NON;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
D. Locqueneux ;NON;2700;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
A. Abrivard;OUI;2700;NON;NON;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
P. Levesque;NON;2700;NON;NON;OUI;8;H;NON;NON;NON;NON;VINCENNES;
A. Wiels;NON;2850;OUI;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
M. Mottier;NON;2850;OUI;NON;OUI;8;H;NON;NON;NON;NON;VINCENNES;
A. Barrier;NON;2850;OUI;NON;OUI;8;F;NON;NON;NON;NON;VINCENNES;
H. Sionneau;OUI;2850;NON;NON;OUI;6;H;OUI;NON;OUI;NON;VINCENNES;
P.Y. Verva;OUI;2850;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;3000;NON;NON;OUI;5;M;NON;NON;NON;NON;VINCENNES;
F. Nivard;OUI;3000;NON;NON;OUI;5;M;NON;NON;OUI;NON;VINCENNES;
E. Lambertz;OUI;3000;NON;NON;OUI;5;M;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse ;NON;3000;NON;NON;OUI;5;M;OUI;NON;OUI;NON;VINCENNES;
M. Mottier;OUI;3000;NON;NON;OUI;5;F;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;OUI;2850;OUI;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
J.Ph. Monclin;NON;2850;NON;NON;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
F. Ouvrie;OUI;2850;NON;NON;OUI;6;F;NON;NON;NON;NON;VINCENNES;
Loic Groussar;OUI;2850;OUI;NON;OUI;6;F;NON;NON;NON;NON;VINCENNES;
M. Sassier;OUI;2850;OUI;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
Mlle J. Lindq;NON;2700;NON;NON;NON;8;F;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2700;NON;NON;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
M. Baroncini;OUI;2700;NON;NON;OUI;6;H;NON;NON;NON;NON;VINCENNES;
F. Ouvrie;NON;2700;NON;NON;OUI;9;H;NON;NON;NON;NON;VINCENNES;
Ch. Martens;OUI;2700;NON;NON;OUI;7;F;NON;OUI;OUI;NON;VINCENNES;
D. Bonne;OUI;2850;NON;NON;OUI;6;H;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2850;NON;NON;OUI;6;H;NON;NON;OUI;NON;VINCENNES;
A. Duperche;NON;2850;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2850;NON;NON;OUI;6;H;NON;NON;OUI;NON;VINCENNES;
D. Thomain;NON;2850;NON;NON;OUI;7;M;NON;NON;NON;NON;VINCENNES;
Ch.J. Bigeon;OUI;2700;NON;NON;OUI;7;M;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;OUI;7;M;NON;NON;OUI;NON;VINCENNES;
A. Wiels;NON;2700;NON;NON;NON;7;F;NON;NON;OUI;NON;VINCENNES;
D. Thomain;NON;2700;NON;NON;OUI;7;M;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2700;NON;NON;OUI;10;H;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2100;OUI;OUI;OUI;7;H;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2100;NON;OUI;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
Cedric Terry;NON;2100;NON;OUI;OUI;8;H;NON;NON;NON;NON;VINCENNES;
D. Ribemont;NON;2100;NON;OUI;OUI;9;H;NON;NON;NON;NON;VINCENNES;
D. Brohier;OUI;2100;NON;OUI;OUI;7;H;NON;NON;NON;NON;VINCENNES;
P. Vercruysse;OUI;2700;NON;NON;OUI;4;F;NON;NON;OUI;NON;VINCENNES;
A. Barrier;NON;2700;NON;NON;OUI;4;F;NON;NON;OUI;NON;VINCENNES;
A. Lamy;NON;2700;NON;NON;OUI;4;F;NON;NON;NON;NON;VINCENNES;
M. Abrivard;OUI;2700;NON;NON;NON;4;F;NON;NON;NON;NON;VINCENNES;
F. Ouvrie;NON;2700;NON;NON;NON;4;F;NON;NON;NON;NON;VINCENNES;
A. Thomas;OUI;2850;OUI;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
F.P. Bossuet;OUI;2850;OUI;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2850;NON;NON;OUI;7;F;NON;NON;NON;NON;VINCENNES;
B. Piton;NON;2850;NON;NON;OUI;7;F;NON;NON;NON;OUI;VINCENNES;
M. Fribault;NON;2850;OUI;NON;OUI;6;F;OUI;NON;NON;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;OUI;4;F;NON;NON;NON;NON;VINCENNES;
M. Abrivard;NON;2700;NON;NON;OUI;4;M;NON;NON;OUI;NON;VINCENNES;
D. Locqueneux;NON;2700;NON;NON;OUI;4;M;OUI;NON;OUI;NON;VINCENNES;
Ch. Martens;OUI;2700;NON;NON;OUI;4;M;NON;NON;NON;NON;VINCENNES;
Y. Lebourgeoi;NON;2700;NON;NON;OUI;4;M;NON;NON;NON;NON;VINCENNES;
F. Ouvrie;NON;2850;NON;NON;OUI;5;F;NON;NON;OUI;NON;VINCENNES;
A. Abrivard;OUI;2850;OUI;NON;OUI;5;F;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;NON;2850;OUI;NON;OUI;5;F;NON;NON;OUI;NON;VINCENNES;
Th. Viet;NON;2850;OUI;NON;NON;5;F;NON;NON;OUI;NON;VINCENNES;
S. Hardy;OUI;2850;NON;NON;OUI;5;F;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2100;NON;OUI;OUI;7;M;OUI;OUI;OUI;NON;VINCENNES;
J.M. Bazire;OUI;2100;NON;OUI;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
J. Bruneau;OUI;2100;NON;OUI;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
D. Bonne;NON;2100;NON;OUI;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
M. Mottier;NON;2100;OUI;OUI;OUI;8;H;NON;NON;NON;NON;VINCENNES;
